id,latitude,longitude,neighbourhood,room_type,bedrooms,cleaning_fee,security_deposit,Free_parking_on_premises,extra_people,Pool,Dryer,m2,reviews_per_month,Hot_tub,Air_conditioning,Crib,Washer,Dishwasher,Suitable_for_events,property_type,Full_kitchen,Internet,Bathtub,Cable_TV,price
17878,-22.96592,-43.17896,0,0,2.0,378.0,0.0,0,63.0,0,0,12169.0,2.13,1,1,0,0,0,1,0,0,1,0,1,332.0
25026,-22.97712000000001,-43.19045,0,0,1.0,250.0,1000.0,0,45.0,0,0,12169.0,2.04,0,1,0,0,0,0,1,0,1,0,1,160.0
31560,-22.98302,-43.21427,1,0,1.0,84.0,0.0,0,42.0,0,0,20908.0,2.38,0,1,0,0,0,0,1,0,1,0,1,273.0
35636,-22.98816,-43.19359,1,0,1.0,172.0,1050.0,0,63.0,0,0,20908.0,2.28,0,1,0,1,0,0,1,0,1,0,1,378.0
35764,-22.981270000000002,-43.190459999999995,0,0,1.0,140.0,400.0,0,80.0,0,0,12169.0,2.84,0,1,0,0,0,0,2,0,0,0,1,130.0
48726,-22.98359,-43.19382,0,1,1.0,0.0,0.0,0,0.0,0,0,12169.0,1.68,0,1,0,1,0,0,1,0,0,0,1,80.0
48901,-22.96467,-43.17442,0,0,4.0,199.0,600.0,1,69.0,0,0,12169.0,0.06,0,1,0,1,0,0,1,0,0,0,1,848.0
49179,-22.97934,-43.19113,0,0,1.0,210.0,420.0,0,21.0,0,0,12169.0,0.92,0,1,0,0,0,0,1,0,1,0,1,189.0
50294,-22.98551,-43.2041,1,0,3.0,232.0,2324.0,0,139.0,0,1,20908.0,0.7,0,1,1,1,0,0,3,1,0,0,1,928.0
51703,-22.98108,-43.19078,0,0,0.0,135.0,400.0,0,75.0,0,0,12169.0,1.89,0,1,0,0,0,0,1,0,1,0,1,134.0
60718,-22.93046,-43.1745,2,0,4.0,232.0,651.0,0,130.0,0,0,11099.0,0.07,0,1,0,1,1,0,1,0,0,0,1,835.0
65546,-22.98623,-43.20353,1,0,3.0,232.0,2324.0,0,93.0,0,1,20908.0,0.53,0,1,0,1,0,0,3,1,1,0,1,1906.0
68422,-22.98498,-43.19135,0,1,1.0,63.0,630.0,0,42.0,0,0,12169.0,0.74,0,1,0,0,0,0,1,0,1,0,1,122.0
70080,-22.9863,-43.19708,1,0,1.0,126.0,420.0,1,29.0,1,1,20908.0,3.52,0,1,1,1,0,0,3,0,1,0,1,378.0
70526,-22.98449,-43.23068,3,1,1.0,84.0,420.0,1,0.0,0,0,23625.0,0.14,0,0,0,0,0,0,1,0,0,0,0,231.0
