neighbourhood,m2
Abolição,1635
Anchieta,965
Andaraí,4961
Barra da Tijuca,9334
Barra de Guaratiba,1401
Barros filho,744
Benfica,1272
Bento Ribeiro,1499
Bonsucesso,1815
Botafogo,11378
Brás de Pina,1341
Cachambi,1475
Caju,866
Cascadura,1501
Catete,10486
Catumbi,1158
Cavalcante,981
Centro,7660
Cidade Nova,2422
Coelho Neto,1084
Colégio,1070
Complexo do Alemão,544
Copacabana,12169
Cordovil,1249
Cosme Velho,8460
Del Castilho,1621
Deodoro,999
Encantado,1641
Engenho Novo,3553
Engenho da Rainha,1169
Engenho de Dentro,2049
Estacio,1688
Flamengo,11099
Gamboa,1666
Glória,9264
Grajaú,4995
Grumari,2601
Guadalupe,1171
Gávea,13814
Higienópolis,1831
Honório Gurgel,3063
Humaitá,11684
Inhaúma,1484
Ipanema,20908
Irajá,1204
Jacaré,1229
Jardim Botânico,14269
Joá,7973
Lagoa,15616
Lapa,3277
Laranjeiras,9687
Leblon,23625
Leme,12211
Lins de Vasconcelos,863
Madureira,1573
Mangueira,490
Manguinhos,439
Maracanã,2297
Marechal Hermes,1213
Maria da Graça,1738
Méier,2727
Olaria,1813
Oswaldo Cruz,1305
Parada de Lucas,1062
Parque Anchieta,855
Pavuna,2193
Penha,1734
Penha Circular,1566
Piedade,1547
Pilares,1577
Praça da Bandeira,2285
Quintino Bocaiúva,1372
Ramos,1512
Recreio dos Bandeirantes,6120
Riachuelo,1797
Ricardo de Albuquerque,1010
Rio Comprido,1670
Rocha,1740
Rocha Miranda,1331
Rocinha,1531
Sampaio,1698
Santa Teresa,7869
Santo Cristo,1526
Saúde,1813
São Conrado,12211
São Cristóvão,1812
Tijuca,6193
Todos os Santos,2281
Tomás Coelho,1199
Urca,11661
Vaz Lobo,1184
Vidigal,1749
Vigário Geral,1025
Vila Isabel,5085
Vila Kosmos,1541
Vila da Penha,1987
Vincente de Carvalho,1272
