neighbourhood,m2
Leblon,23625
Ipanema,20908
Lagoa,15616
Jardim Botânico,14269
Gávea,13814
Leme,12211
São Conrado,12211
Copacabana,12169
Humaitá,11684
Urca,11661
Botafogo,11378
Flamengo,11099
Catete,10486
Laranjeiras,9687
Barra da Tijuca,9334
Glória,9264
Cosme Velho,8460
Joá,7973
Santa Teresa,7869
Centro,7660
Tijuca,6193
Recreio dos Bandeirantes,6120
Vila Isabel,5085
Grajaú,4995
Andaraí,4961
Engenho Novo,3553
Lapa,3277
Honório Gurgel,3063
Méier,2727
Grumari,2601
Cidade Nova,2422
Maracanã,2297
Praça da Bandeira,2285
Todos os Santos,2281
Pavuna,2193
Engenho de Dentro,2049
Vila da Penha,1987
Higienópolis,1831
Bonsucesso,1815
Saúde,1813
Olaria,1813
São Cristóvão,1812
Riachuelo,1797
Vidigal,1749
Rocha,1740
Maria da Graça,1738
Penha,1734
Sampaio,1698
Estacio,1688
Rio Comprido,1670
Gamboa,1666
Encantado,1641
Abolição,1635
Del Castilho,1621
Pilares,1577
Madureira,1573
Penha Circular,1566
Piedade,1547
Vila Kosmos,1541
Rocinha,1531
Santo Cristo,1526
Ramos,1512
Cascadura,1501
Bento Ribeiro,1499
Inhaúma,1484
Cachambi,1475
Barra de Guaratiba,1401
Quintino Bocaiúva,1372
Brás de Pina,1341
Rocha Miranda,1331
Oswaldo Cruz,1305
Vincente de Carvalho,1272
Benfica,1272
Cordovil,1249
Jacaré,1229
Marechal Hermes,1213
Irajá,1204
Tomás Coelho,1199
Vaz Lobo,1184
Guadalupe,1171
Engenho da Rainha,1169
Catumbi,1158
Coelho Neto,1084
Colégio,1070
Parada de Lucas,1062
Vigário Geral,1025
Ricardo de Albuquerque,1010
Deodoro,999
Cavalcante,981
Anchieta,965
Caju,866
Lins de Vasconcelos,863
Parque Anchieta,855
Barros filho,744
Complexo do Alemão,544
Mangueira,490
Manguinhos,439
